item_id,קטגוריה,שם מוצר,אייקון,מחיר ייחוס (₪),טווח מינ׳ (₪),טווח מקס׳ (₪),דרגת קושי (1–3),הערות
1,משחקים וצעצועים,סט לגו קטן (100–200 חלקים),🧱,120.0,80.0,200.0,1,מותג רשמי/חיקוי
2,משחקים וצעצועים,סט לגו בינוני (200–400 חלקים),🧱,240.0,150.0,450.0,2,סדרות נפוצות
3,משחקים וצעצועים,סט לגו גדול (400+ חלקים),🧱,420.0,300.0,800.0,3,דגמים מורכבים
4,משחקים וצעצועים,פאזל 100–300 חלקים,🧩,70.0,40.0,120.0,1,דמויות/נוף
5,משחקים וצעצועים,פאזל 500–1000 חלקים,🧩,120.0,80.0,220.0,2,לנוער/משפחה
6,משחקים וצעצועים,משחק קופסה משפחתי,🎲,160.0,100.0,260.0,1,משפחתי/מסיבות
7,משחקים וצעצועים,משחק אסטרטגיה לנוער,♟️,220.0,140.0,350.0,2,"עמוק יותר, 2–4 שחקנים"
8,משחקים וצעצועים,בובת פעולה/סופר-הירו,🤖,120.0,70.0,250.0,1,גודל/מותג
9,משחקים וצעצועים,בובת תינוק/אביזרים,🍼,140.0,80.0,280.0,1,עגלה/בקבוק/סט
10,משחקים וצעצועים,ערכת יצירה (צבעים/טושים/דבק),🎨,90.0,50.0,180.0,1,מותג/כמות
11,משחקים וצעצועים,פלסטלינה/חימר יצירה,🧼,40.0,25.0,80.0,1,אריזות/סטים
12,משחקים וצעצועים,רחפן מיני לילדים,🚁,260.0,160.0,450.0,2,זמן טיסה/יציבות
13,משחקים וצעצועים,מכונית על שלט,🏎️,220.0,120.0,400.0,1,מהירות/טווח
14,משחקים וצעצועים,רובוט חכם בסיסי,🤖,280.0,180.0,550.0,2,תכנות בסיסי/חיישנים
15,משחקים וצעצועים,סט מדע לילדים,🧪,140.0,80.0,260.0,1,ניסויים בטוחים
16,גאדג'טים וטק,אוזניות בלוטות׳ ילדים,🎧,140.0,80.0,260.0,1,הגבלת ווליום
17,גאדג'טים וטק,רמקול נייד קטן,🔊,120.0,80.0,240.0,1,עמידות/בלוטות׳
18,גאדג'טים וטק,שעון חכם ילדים (GPS),⌚,250.0,180.0,450.0,2,שיחות/מיקום
19,גאדג'טים וטק,מצלמת ילדים דיגיטלית,📸,220.0,140.0,420.0,2,וידאו+פילטרים
20,גאדג'טים וטק,טאבלט בסיסי לילדים,📱,550.0,350.0,950.0,2,מסנן תכנים/מגן
21,גאדג'טים וטק,קונסולת משחק ניידת בסיסית,🕹️,380.0,250.0,700.0,2,משחקים מובנים
22,גאדג'טים וטק,דיסק און קי 128GB,💾,60.0,40.0,90.0,1,USB 3
23,גאדג'טים וטק,"מטען נייד 10,000mAh",🔋,90.0,60.0,150.0,1,תמיכה מהירה
24,לימודים וציוד בית ספר,תיק גב בית ספר,🎒,180.0,90.0,350.0,1,ארגונומי/מותג
25,לימודים וציוד בית ספר,קלמר מאובזר,✏️,60.0,35.0,120.0,1,טושים/עפרונות
26,לימודים וציוד בית ספר,מחברות (סט 10),📚,40.0,25.0,70.0,1,שורה/משבצות
27,לימודים וציוד בית ספר,ספר לימוד ממוצע,📘,90.0,60.0,150.0,1,חדש/יד שנייה
28,לימודים וציוד בית ספר,מערכת שעות/יומן תלמיד,📅,35.0,20.0,60.0,1,כריכה/עיצוב
29,לימודים וציוד בית ספר,קופסת אוכל+בקבוק,🍱,70.0,40.0,120.0,1,ללא BPA
30,לימודים וציוד בית ספר,טושים/צבעי עופרת איכותיים,🖍️,60.0,35.0,120.0,1,מותג/כמות
31,לימודים וציוד בית ספר,מחשבון מדעי,🧮,90.0,60.0,160.0,1,תיכון/חטיבה
32,ספורט וחוץ,כדורגל,⚽,70.0,40.0,140.0,1,מידה 4–5
33,ספורט וחוץ,כדורסל,🏀,90.0,60.0,160.0,1,אולם/חוץ
34,ספורט וחוץ,כדור עף,🏐,80.0,50.0,140.0,1,חוף/אולם
35,ספורט וחוץ,רולרבליידס ילדים,🛼,260.0,180.0,500.0,2,מידות מתכווננות
36,ספורט וחוץ,קורקינט ידני,🛴,260.0,150.0,450.0,1,2/3 גלגלים
37,ספורט וחוץ,"אופני ילדים 16–20""",🚲,780.0,500.0,1200.0,2,בלמים/משקל
38,ספורט וחוץ,מחבטי טניס/כדור,🎾,160.0,100.0,300.0,1,סט בסיסי
39,ספורט וחוץ,בריכה מתנפחת בינונית,🏖️,180.0,120.0,350.0,1,עובי PVC
40,ספורט וחוץ,קמפינג לילדים (אוהל קטן),⛺,160.0,100.0,320.0,1,יתדות/רשת
41,לבוש והנעלה,טי‑שירט ילדים,👕,55.0,30.0,100.0,1,כותנה/מותג
42,לבוש והנעלה,מכנס ספורט,🩳,70.0,40.0,140.0,1,דריי‑פיט
43,לבוש והנעלה,סווטשירט עם קפוצ׳ון,🧥,120.0,80.0,220.0,1,חורף
