item_id,קטגוריה,שם מוצר,אייקון,מחיר ייחוס (₪),טווח מינ׳ (₪),טווח מקס׳ (₪),דרגת קושי (1–3),הערות
1,מחשבים ואלקטרוניקה,עכבר מחשב,🖱️,60.0,30.0,120.0,1,דגם חוטי פשוט לעומת אלחוטי ממותג
2,מחשבים ואלקטרוניקה,מקלדת,⌨️,100.0,40.0,200.0,1,מממברנה בסיסית עד מכנית פשוטה
3,מחשבים ואלקטרוניקה,מחשב נייד,💻,3000.0,1500.0,6000.0,3,דגמי כניסה לעומת בינוני-גבוה
4,מוצרי חשמל,מקרר ביתי,🧊,3000.0,1500.0,6000.0,3,נפח 300–500 ל' ללא דלת כפולה
5,מוצרי חשמל,טלוויזיה 55״,📺,2200.0,1200.0,3500.0,2,"LED רגיל, לא OLED"
6,מחשבים ואלקטרוניקה,סמארטפון ביניים,📱,1500.0,800.0,3500.0,2,"מותגים נפוצים, לא דגל"
7,מכולת,ק״ג תפוחים,🍎,9.0,6.0,12.0,1,סופר/שוק
8,מכולת,חלב 1 ל׳,🥛,6.0,5.0,7.0,1,"רגיל, לא מיוחד"
9,מכולת,לחם פרוס,🍞,10.0,6.0,16.0,1,לחם מדף/מאפייה
10,צעצועים,סט לגו בינוני,🧱,150.0,80.0,300.0,2,לא סדרות יקרות במיוחד
11,ספורט,כדורגל,⚽,60.0,30.0,120.0,1,איכות בסיסית-בינונית
12,תחבורה אישית,אופני ילדים,🚲,700.0,400.0,1200.0,2,12–20 אינץ׳
13,תחבורה אישית,קורקינט ידני,🛴,250.0,120.0,400.0,1,לא חשמלי
14,לימודים,תיק גב בית ספר,🎒,150.0,80.0,300.0,1,מותגים נפוצים
15,הלבשה,טי-שירט ילדים,👕,50.0,25.0,80.0,1,כיתוב/מותג פשוט
16,הנעלה,נעלי ספורט ילדים,👟,200.0,120.0,300.0,1,מותגים נפוצים
17,ספרים ומשחקי קופסה,ספר ילדים,📘,70.0,40.0,120.0,1,כריכה רכה/קשה
18,ספרים ומשחקי קופסה,משחק קופסה,🎲,120.0,60.0,200.0,1,משפחה/ילדים
19,אודיו,אוזניות חוטיות,🎧,80.0,40.0,120.0,1,בלי ביטול רעשים
20,מדיה ואחסון,דיסק און קי 64GB,💾,40.0,20.0,60.0,1,USB 3.0
21,משרד ובית,מדפסת הזרקת דיו,🖨️,300.0,180.0,450.0,2,ביתית
22,מוצרי חשמל,מיקרוגל,🍽️,400.0,250.0,700.0,1,20–25 ל׳
23,מוצרי חשמל,קומקום חשמלי,☕,120.0,70.0,180.0,1,בסיסי
24,מוצרי חשמל,מאוורר עומד,🌀,220.0,120.0,350.0,1,16–18 אינץ׳
25,מיזוג,מזגן 1 כ״ס,❄️,2000.0,1300.0,2800.0,2,ON/OFF בסיסי
26,כביסה וניקיון,מכונת כביסה 7 ק״ג,🧺,1500.0,900.0,2500.0,2,דירוג אנרגטי בינוני
27,כביסה וניקיון,שואב אבק,🧹,600.0,300.0,1200.0,2,חוטי/מקל בסיסי
28,ריהוט,ספה דו-מושבית,🛋️,1800.0,900.0,3500.0,3,בד/דמוי עור
29,ריהוט,כיסא אוכל (יח׳),🪑,180.0,80.0,350.0,1,עץ/מתכת
30,ריהוט,מיטת יחיד (שלד),🛏️,700.0,300.0,1200.0,2,מסגרת בסיסית
31,ריהוט,מזרן יחיד,🛌,900.0,400.0,1600.0,2,קפיצים/ספוג
32,מטבח קטן,טוסטר קופץ,🍞,120.0,70.0,180.0,1,2 פרוסות
33,מכולת,שוקולד חפיסה,🍫,5.0,3.0,8.0,1,"רגיל, לא פרימיום"
34,אוכל בחוץ,פיצה משפחתית,🍕,70.0,45.0,100.0,1,פיצה לא ממותגת יוקרתית
35,תחבורה ציבורית,נסיעת אוטובוס עירונית,🚌,5.5,5.5,5.5,1,תעריף רגיל
36,בידור,כרטיס לקולנוע,🎬,45.0,30.0,55.0,1,ללא VIP
37,תרבות,כרטיס למוזיאון (ילד),🏛️,30.0,20.0,45.0,1,ימים רגילים
38,שירותים חודשיים,אינטרנט ביתי (חודש),🌐,90.0,70.0,120.0,2,1000Mb/300Mb
39,חשבונות,חשמל חודשי ממוצע,⚡,400.0,250.0,600.0,2,דירה משפחתית
40,חשבונות,מים חודשיים ממוצע,💧,120.0,80.0,250.0,2,משפחה בינונית
